id,event,time_raw,time_year,dynasty,period,location,province,modern_place,lat,lng,textbook,unit,description,prompt
7A-03-03,焚书坑儒,公元前213年/前212年,-213,秦朝,秦朝,咸阳（今陕西咸阳）,陕西省,咸阳市及骊山一带,34.33,108.71,七上,第三单元 秦汉时期,公元前213年，秦始皇采纳丞相李斯的建议，下令焚烧除秦国史书、医药、卜筮、种树以外的民间藏书。次年，因方士卢生等私下议论秦始皇并逃走，秦始皇大怒，追查咸阳的方士和儒生，将四百六十多人坑杀于咸阳。这就是历史上著名的「焚书坑儒」，虽加强了思想控制，但也严重摧残了文化。,"Palace scholars being dragged away by imperial guards, stacks of bamboo scrolls being thrown into a roaring bonfire in the Xianyang palace courtyard, the First Emperor watching from above, horrified intellectuals witnessing the destruction of knowledge, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-04,陈胜吴广起义,公元前209年,-209,秦朝,秦末农民起义,大泽乡（今安徽宿州）,安徽省,宿州市埇桥区大泽乡镇,33.65,117.07,七上,第三单元 秦汉时期,公元前209年，九百多名被征发去渔阳戍守的贫苦农民，在大泽乡遇大雨误期。按秦法误期当斩，队长陈胜和吴广杀死押送军官，发动了中国历史上第一次大规模农民起义。起义军迅速壮大，建立了「张楚」政权。虽然起义最终失败，但它沉重打击了秦朝的残暴统治，为后来的反秦斗争揭开了序幕。,"Peasant rebels gathered at Daze village under heavy rain, Chen Sheng raising a broken spear rallying desperate conscripts, soldiers forging makeshift weapons from farm tools, torches burning in torrential rain, the first mass uprising against tyranny, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-05,巨鹿之战,公元前207年,-207,秦朝,秦末战争,巨鹿（今河北平乡）,河北省,邢台市平乡县,37.06,115.03,七上,第三单元 秦汉时期,公元前207年，秦将章邯率大军围攻赵国的巨鹿城。各路反秦诸侯军纷纷前来救援却不敢出战，只有项羽毅然率楚军渡过漳水，「破釜沉舟」——砸破饭锅、凿沉渡船，只带三天干粮，表示决一死战的决心。楚军奋勇冲杀、以一当十，大败秦军主力。此战后秦朝名存实亡。,"Battle of Julu, Xiang Yu standing on a cliff watching his Chu army charge across the Zhang River, broken cooking pots and sunk boats visible on the riverbank symbolizing no retreat, Qin army in disarray as Chu warriors fight with desperate ferocity, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-06,楚汉之争 / 垓下之战,公元前206-前202年,-202,秦汉之际,楚汉之争,垓下（今安徽灵璧）,安徽省,宿州市灵璧县,33.55,117.56,七上,第三单元 秦汉时期,秦朝灭亡后，刘邦和项羽为争夺天下展开了长达四年（前206—前202）的「楚汉之争」。项羽虽勇猛善战，但刚愎自用、猜忌部下，且到处烧杀抢掠失去民心。刘邦则知人善任、收揽民心，逐渐由弱变强。公元前202年，刘邦率大军将项羽围困在垓下（今安徽灵璧），四面楚歌声中，项羽突围至乌江边自刎。刘邦最终胜利，建立了西汉。,"Final siege at Gaixia, Han soldiers surrounding a trapped Chu camp, Xiang Yu on horseback surrounded by his remaining loyal guards, Chu songs being sung from surrounding hills creating despair, the lone hero riding toward the Wujiang riverbank for his final stand, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-07,西汉建立,公元前202年,-202,西汉,汉初,长安（今陕西西安）,陕西省,西安市,34.25,108.9,七上,第三单元 秦汉时期,楚汉之争胜利后，刘邦于公元前202年称帝，是为汉高祖，定都长安，史称西汉。西汉初年，由于长期战乱导致社会经济凋敝，汉高祖及其后继者采取休养生息政策，减轻赋税和刑罚，恢复发展农业生产，为后来「文景之治」的出现奠定了基础。,"Liu Bang enthroned as Emperor of Western Han in the Chang'an palace, generals kneeling in allegiance, the grand capital city emerging from war-torn ruins, imperial decree issued for rest-and-recover policies, beginning of a new dynasty, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-08,文景之治,公元前180-前141年,-160,西汉,文景时期,长安（今陕西西安）,陕西省,西安市,34.25,108.9,七上,第三单元 秦汉时期,汉文帝和汉景帝在位期间（前180—前141），继续推行休养生息政策，注重以德化民。他们提倡节俭，减轻赋税，将田租由十五税一减为三十税一，甚至有十余年免除田租。同时减轻刑罚，废除了一些残损肢体的肉刑。这一时期社会安定、经济发展、百姓富裕，历史上称为「文景之治」，是中国封建社会的第一个治世。,"Emperor Wen and Emperor Jing in modest palace chambers reviewing agricultural reports, officials reducing tax records from fifteen-to-one to thirty-to-one, peaceful countryside with abundant granaries and prosperous villages, serene governance of the first imperial golden age, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-09,张骞出使西域,公元前138年和前119年,-138,西汉,汉武帝时期,从长安出发→西域各国,陕西→新疆→中亚,西安→河西走廊→西域,39,90,七上,第三单元 秦汉时期,汉武帝为联合大月氏夹击匈奴，于公元前138年派遣张骞率领一百多人从长安出发出使西域。张骞途中被匈奴扣留十年，但他始终不忘使命，最终逃脱到达大月氏。前119年张骞再次出使西域，访问了西域许多国家。张骞两次出使开辟了通往中亚的道路，促进了汉朝与西域各国的相互了解与往来，为后来丝绸之路的开辟奠定了基础。,"Zhang Qian on camelback traversing the vast Gobi desert, his small caravan following the Hexi Corridor westward, distant snow-capped mountains of Central Asia ahead, desolate sand dunes and oasis waypoints, the pioneering journey opening the western routes, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-10,丝绸之路开通,张骞通西域后,-119,西汉,汉武帝时期,长安→河西走廊→西域→中亚→西亚→欧洲,跨省/跨国,西安→甘肃→新疆→中亚→西亚,38,80,七上,第三单元 秦汉时期,张骞通西域后，汉朝与西域的使者、商人往来日趋频繁。从长安出发，经过河西走廊、今新疆地区，通往中亚、西亚直至欧洲的商路开通，这就是著名的「丝绸之路」。中国的丝绸、漆器、凿井技术等沿着这条商路源源西传；西域的良种马、葡萄、石榴、核桃、苜蓿等也传入中国。丝绸之路成为东西方经济文化交流的重要通道。,"Camel caravans traversing the Silk Road from Chang'an through the Hexi Corridor, merchants carrying bundles of silk and lacquer ware westward, Central Asian traders with horses and jade heading east, oasis towns and desert trading posts along the route, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-11,罢黜百家，独尊儒术,公元前134年,-134,西汉,汉武帝时期,长安（今陕西西安）,陕西省,西安市,34.25,108.9,七上,第三单元 秦汉时期,汉武帝为加强中央集权和思想统一，采纳儒生董仲舒「罢黜百家，独尊儒术」的建议，将儒家学说确立为正统思想。他在长安兴办太学，以儒家五经（《诗》《书》《礼》《易》《春秋》）为教材，培养儒学人才，学成后授予官职。从此，儒学成为此后两千多年中国封建社会的正统思想，对中国历史产生了深远影响。,"Emperor Wu of Han in the Chang'an palace hall, scholar Dong Zhongshu presenting a Confucian doctrine, imperial academy students studying bamboo scrolls of the Five Classics, Confucian texts replacing diverse philosophical schools, ideological unification of the empire, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-12,王莽篡汉 / 新朝建立,公元9年,9,新朝,新朝,长安（今陕西西安）,陕西省,西安市,34.25,108.9,七上,第三单元 秦汉时期,西汉后期，朝政腐败，外戚王莽趁机掌握了朝中大权。公元9年，王莽废黜西汉末帝，自称皇帝，改国号为「新」，定都长安。他模仿古代制度进行大规模改制（史称「托古改制」），但因改革严重脱离实际且朝令夕改，导致社会更加混乱，激化了各种矛盾。新朝仅存在了15年便被农民起义推翻。,"Wang Mang in imperial regalia declaring himself emperor in the Chang'an palace, officials struggling to implement chaotic reform decrees, confused citizens lining up at grain distribution centers, the fractured administration of the short-lived Xin dynasty, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-13,东汉建立/光武中兴,公元25年,25,东汉,东汉初期,洛阳（今河南洛阳）,河南省,洛阳市,34.62,112.45,七上,第三单元 秦汉时期,王莽新朝被推翻后，西汉宗室刘秀于公元25年称帝，定都洛阳，史称东汉。刘秀就是光武帝。他多次下令减轻农民负担，释放奴婢，减轻刑罚，惩处贪官污吏，并合并郡县、裁减官员。在他统治期间，社会安定，经济恢复发展，史称「光武中兴」。,"Emperor Guangwu Liu Xiu in the Luoyang palace issuing decrees for land redistribution, freed slaves receiving documents of emancipation, officials auditing corrupt local governments, the capital city of Luoyang being rebuilt, dawn of Eastern Han restoration, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-14,班超经营西域,公元73年,73,东汉,东汉,西域（今新疆等地）,新疆维吾尔自治区,新疆塔里木盆地周边,41,84,七上,第三单元 秦汉时期,东汉初年，匈奴重新控制了西域。公元73年，汉明帝派班超出使西域。班超在西域活动三十余年，凭借智慧和勇气，争取西域各国归附汉朝。他派部下甘英出使大秦（罗马帝国），虽未到达但了解了沿途情况。班超的经营恢复了西域与中原的联系，重新打通了通往中亚的交通线。,"Ban Chao on horseback leading a diplomatic mission through Tarim Basin oasis kingdoms, meeting local rulers in desert citadels, Han banners displayed in western territories, caravans and military garrisons along the Silk Road routes, the restoration of western connections, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-15,蔡伦改进造纸术,公元105年,105,东汉,东汉中期,洛阳（今河南洛阳）,河南省,洛阳市,34.62,112.45,七上,第三单元 秦汉时期,东汉时，宦官蔡伦总结西汉以来的造纸经验，于公元105年改进了造纸术。他采用树皮、麻头、破布、旧渔网等廉价易得的原料，经过浸泡、打浆、抄纸、晾干等工序，制造出了质量轻便、价格便宜的植物纤维纸。造纸术的发明和改进极大地便利了人们的书写，促进了文化的传播，后来传遍世界，是中国对世界文明的伟大贡献。,"Cai Lun in a paper-making workshop, workers soaking tree bark and old hemp fabric in water tanks, spreading pulp onto bamboo screens for drying, finished lightweight paper sheets being cut and stacked, revolutionary invention transforming knowledge transmission, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-16,张仲景著《伤寒杂病论》,东汉末年,200,东汉,东汉末年,南阳（今河南南阳）,河南省,南阳市,33,112.53,七上,第三单元 秦汉时期,东汉末年，张仲景广泛收集民间验方，结合自己的临床实践，写成了《伤寒杂病论》一书。他在书中阐述了中医治疗学的「辨证论治」原则，即根据病人的具体症状来确定治疗方法，奠定了中医临床医学的理论基础。张仲景因此被后世尊称为「医圣」。,"Zhang Zhongjing in a modest clinic examining a patient's pulse, recording symptoms on bamboo slips, compounding herbal medicines from dried plants in jars, the scholarly physician composing the Shanghan Zabing Lun treatise, clinical methodology being established, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-17,华佗发明麻沸散,东汉末年,200,东汉,东汉末年,谯（今安徽亳州）,安徽省,亳州市,33.88,115.78,七上,第三单元 秦汉时期,华佗是东汉末年著名医学家，擅长外科手术。他发明了全身麻醉药剂「麻沸散」，让病人在手术前服药后失去知觉，再进行手术，极大地减轻了病人的痛苦。这在世界医学史上是空前的创举。他还模仿虎、鹿、熊、猿、鸟五种动物的动作姿态，编制了一套健身操——「五禽戏」，用以锻炼身体、预防疾病。,"Hua Tuo performing surgery on a reclining patient who has been anesthetized with mafeisan powder, assistants preparing surgical instruments and herbal decoctions, the physician's five-animal exercise charts displayed on a wall, groundbreaking medical innovation, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-18,司马迁著《史记》,西汉武帝时期,-100,西汉,汉武帝时期,长安（今陕西西安）,陕西省,西安市（及全国游历）,34.25,108.9,七上,第三单元 秦汉时期,司马迁是中国古代伟大的史学家。他年轻时游历各地，考察历史遗迹，搜集了大量第一手资料。后来因替投降匈奴的李陵辩护而遭受宫刑，但他忍辱负重、发愤著书，终于完成了一部不朽的史学巨著——《史记》。《史记》记载了从传说中的黄帝到汉武帝约三千年的历史，是中国第一部纪传体通史，对后世史学和文学都产生了深远影响。,"Sima Qian writing intensely by candlelight in a modest Chang'an study, bamboo scrolls piled around his desk, the historian's bruised body reflecting his suffering yet determined spirit, the monumental Shiji manuscript being composed across thousands of bamboo strips, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-03-19,黄巾起义,公元184年,184,东汉,东汉末年,全国多地（钜鹿等地起事）,河北等地,起于河北平乡一带,37.06,115.03,七上,第三单元 秦汉时期,东汉末年，朝政日益腐败，加上连年灾荒，百姓生活困苦不堪。钜鹿人张角创立了太平道，以「苍天已死，黄天当立，岁在甲子，天下大吉」为号召发动起义。起义军头裹黄巾，史称「黄巾起义」。起义虽然被镇压下去，但东汉政权从此一蹶不振，各州牧纷纷拥兵自重，形成了军阀割据的局面。,"Yellow-turbanned peasants marching through countryside roads toward a walled city, Zhang Jiao on a hilltop rallying thousands with raised arms, rebels wearing yellow cloth headbands and carrying farm-tool weapons, chaos engulfing the weakening Eastern Han empire, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-04-01,官渡之战,200年,200,东汉末年,汉末军阀混战,官渡（今河南中牟东北）,河南省,郑州市中牟县,34.72,113.98,七上,第四单元 三国两晋南北朝,200年，占据黄河以北的袁绍率十万大军南下，曹操以劣势兵力在官渡（今河南中牟）迎战。曹操采纳谋士许攸的计策，夜袭袁军屯粮重地乌巢，烧毁全部军粮。袁军闻讯军心动摇，曹操趁势出击，大获全胜。官渡之战是中国历史上著名的以少胜多的战例，奠定了曹操统一北方的基础。,"Battle at Guandu, Cao Cao on a command hill watching his smaller force face Yuan Shao's massive army, a night raid on Wuchao granary with flames consuming enemy supplies, desperate Yuan troops collapsing in chaos, pivotal victory through strategy over numbers, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-04-02,赤壁之战,208年,208,东汉末年,三国时期前,赤壁（今湖北赤壁市）,湖北省,咸宁市赤壁市（或嘉鱼县）,29.72,113.9,七上,第四单元 三国两晋南北朝,208年，统一了北方的曹操率二十余万大军南下，企图一举消灭南方的孙权和刘备。孙刘联军约五万人，在赤壁（今湖北赤壁）采用火攻战术，趁着东南风火烧曹军战船和岸上营寨。曹操大败，率残部逃回北方。赤壁之战奠定了三国鼎立的基础——曹操据北方，孙权据江东，刘备据荆州进而取益州。,"Battle at Chibi on the Yangtze River, Sun-Liu coalition fireboats blazing across the water toward Cao's chained fleet, massive warships engulfed in flames, soldiers leaping into the river, southeast wind driving fire into the enemy fleet, decisive naval confrontation, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-04-03,三国鼎立,220-280年,220,三国时期,三国时期,魏-洛阳，蜀-成都，吴-建业,河南/四川/江苏,洛阳/成都/南京,32,112,七上,第四单元 三国两晋南北朝,赤壁之战后，天下三分之势逐渐形成。220年，曹操的儿子曹丕在洛阳称帝，国号魏。221年，刘备在成都称帝，国号汉（史称蜀汉）。229年，孙权在建业（今江苏南京）称帝，国号吴。至此三国鼎立局面正式形成。三国时期，各国都注重发展经济：魏国兴修水利、屯田积谷；蜀国发展蜀锦、开发南中；吴国造船业发达，派船队到达台湾（当时称夷洲）。,"Three kingdoms map with three emperors: Cao Pi enthroned in Luoyang, Liu Bei in Chengdu palace, Sun Quan in Jianye command hall, each ruler receiving officials, their respective territories distinctly divided across China, the tripartite balance of power, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
7A-04-04,西晋统一,280年,280,西晋,西晋,洛阳（今河南洛阳）,河南省,洛阳市,34.62,112.45,七上,第四单元 三国两晋南北朝,三国后期，魏国实力最强。263年魏灭蜀。265年，司马炎夺取魏国政权，建立西晋，定都洛阳。280年，西晋出兵攻灭吴国，中国再次实现统一。然而西晋统一仅维持了很短的时间，由于统治集团的腐朽和内部争权夺利，很快就陷入危机。,"Western Jin cavalry entering the fallen Wu capital Jianye through breached gates, Emperor Sima Yan receiving surrender documents, unified China map displayed in the Luoyang palace, short-lived triumph of reunification after decades of division, Late Ming Huizhou woodblock print style, black and white baimiao line drawing on aged yellowed xuan paper, fine curved carving lines, no coloring, pure ink lines, traditional baimiao landscape technique, classical narrative figures, ancient rustic antique book texture, rich detail, high-fidelity line work"
